Student_ID,Subject,Study_Hours,Social_Hours,Grade
0,Eng A Lit SL,17.5,0.6,5.0
1,Physics HL,14.3,42.5,3.0
2,Math AA HL,18.2,16.1,5.0
3,Physics HL,22.6,20.3,7.0
4,Math AA HL,13.8,11.9,5.0
5,Math AA HL,13.8,2.1,6.0
6,Eng A Lit SL,22.9,0.3,6.0
7,French B SL,18.8,20.0,6.0
8,Math AA HL,12.7,5.0,4.0
9,Math AA HL,17.7,3.1,5.0
10,Econ SL,12.7,8.2,5.0
11,French B SL,12.7,5.5,7.0
12,Physics HL,16.2,10.5,4.0
13,Math AA HL,5.4,6.6,4.0
14,Eng A Lit SL,6.4,11.9,4.0
15,French B SL,12.2,19.2,6.0
16,French B SL,9.9,2.2,7.0
17,Econ SL,16.6,4.0,6.0
18,Math AA HL,10.5,5.7,3.0
19,Physics HL,7.9,32.7,2.0
20,Physics HL,22.3,4.5,6.0
21,Chem HL,13.9,4.8,5.0
22,Chem HL,15.3,10.6,5.0
23,Eng A Lit SL,7.9,5.4,5.0
24,Econ SL,12.3,30.2,5.0
25,Math AA HL,15.6,22.5,3.0
26,Physics HL,9.2,7.2,3.0
27,Chem HL,16.9,10.4,5.0
28,Math AA HL,12.0,0.6,4.0
29,Econ SL,13.5,11.9,6.0
30,Math AA HL,12.0,12.3,4.0
31,Physics HL,24.3,4.5,7.0
32,Math AA HL,14.9,2.5,6.0
33,French B SL,9.7,24.7,5.0
34,Chem HL,19.1,5.6,6.0
35,Eng A Lit SL,8.9,10.6,6.0
36,Chem HL,16.0,0.3,7.0
37,Math AA HL,5.2,5.3,3.0
38,French B SL,8.4,17.0,4.0
39,Chem HL,16.0,4.9,5.0
40,Physics HL,18.7,9.2,5.0
41,French B SL,15.9,2.4,7.0
42,Econ SL,14.4,5.4,7.0
43,Chem HL,13.5,26.3,4.0
44,Math AA HL,7.6,8.4,3.0
45,Physics HL,11.4,23.2,3.0
46,Math AA HL,12.7,23.2,4.0
47,Econ SL,20.3,28.9,5.0
48,Math AA HL,16.7,22.6,4.0
49,Econ SL,6.2,0.0,5.0
50,Physics HL,16.6,27.2,4.0
51,French B SL,13.1,1.5,7.0
52,Chem HL,11.6,0.4,6.0
53,French B SL,18.1,0.6,7.0
54,Econ SL,20.2,4.3,7.0
55,Physics HL,19.7,9.7,5.0
56,Econ SL,10.8,5.1,6.0
57,Chem HL,13.5,0.3,7.0
58,Physics HL,16.7,6.5,4.0
59,Eng A Lit SL,19.9,5.8,7.0
60,Eng A Lit SL,12.6,14.1,4.0
61,French B SL,14.1,3.3,7.0
62,Physics HL,9.5,2.5,4.0
63,Chem HL,9.0,3.0,5.0
64,French B SL,19.1,3.6,7.0
65,Eng A Lit SL,21.8,9.1,7.0
66,Eng A Lit SL,14.6,6.4,6.0
67,Eng A Lit SL,20.0,4.1,7.0
68,French B SL,16.8,4.7,6.0
69,Chem HL,11.8,4.6,6.0
70,Eng A Lit SL,16.8,35.9,4.0
71,French B SL,22.7,2.7,7.0
72,French B SL,14.8,17.0,5.0
73,Math AA HL,22.8,12.3,5.0
74,Math AA HL,1.9,0.1,3.0
75,Econ SL,19.1,49.9,5.0
76,Chem HL,15.4,14.1,6.0
77,Eng A Lit SL,13.5,11.5,6.0
78,Math AA HL,15.5,5.2,6.0
79,Chem HL,5.1,8.1,4.0
80,Math AA HL,13.9,2.9,4.0
81,Eng A Lit SL,16.8,0.4,6.0
82,French B SL,22.4,18.1,6.0
83,Eng A Lit SL,12.4,22.7,5.0
84,Math AA HL,11.0,1.8,3.0
85,Eng A Lit SL,12.5,15.5,4.0
86,French B SL,19.6,13.5,7.0
87,Physics HL,16.6,2.0,5.0
88,French B SL,12.4,5.5,6.0
89,Math AA HL,17.6,5.5,6.0
90,French B SL,15.5,14.3,7.0
91,Econ SL,19.8,18.2,6.0
92,Chem HL,11.5,1.0,5.0
93,Eng A Lit SL,13.4,8.3,5.0
94,Econ SL,13.0,14.3,7.0
95,Physics HL,7.7,15.4,3.0
96,Physics HL,16.5,1.6,5.0
97,Eng A Lit SL,16.3,7.5,7.0
98,Eng A Lit SL,15.0,19.5,4.0
99,Chem HL,13.8,3.8,5.0
100,French B SL,7.9,5.5,6.0
101,Physics HL,12.9,16.3,4.0
102,Math AA HL,13.3,0.9,4.0
103,Eng A Lit SL,11.0,19.6,4.0
104,Eng A Lit SL,14.2,3.7,6.0
105,Econ SL,17.0,0.0,5.0
106,Econ SL,24.4,2.7,7.0
107,Econ SL,15.9,0.9,6.0
108,Physics HL,16.3,1.0,6.0
109,Econ SL,14.6,11.8,7.0
110,Eng A Lit SL,5.4,2.4,6.0
111,Physics HL,14.9,27.3,4.0
112,Math AA HL,15.3,7.3,5.0
113,Math AA HL,27.3,6.2,7.0
114,Physics HL,14.0,5.7,5.0
115,Eng A Lit SL,16.5,11.8,6.0
116,Chem HL,14.8,6.0,7.0
117,Chem HL,9.2,1.4,4.0
118,French B SL,20.7,21.2,6.0
119,Chem HL,18.8,5.6,6.0
120,Econ SL,19.0,0.8,7.0
121,Eng A Lit SL,10.5,7.5,6.0
122,Chem HL,22.0,10.4,5.0
123,French B SL,8.0,3.2,5.0
124,Math AA HL,17.9,16.1,4.0
125,Physics HL,26.0,11.1,6.0
126,Chem HL,10.0,10.5,4.0
127,Physics HL,12.2,5.5,5.0
128,Physics HL,15.5,32.7,3.0
129,Econ SL,12.5,3.2,6.0
130,Econ SL,7.2,8.6,6.0
131,Math AA HL,15.3,3.7,5.0
132,French B SL,9.7,13.7,5.0
133,Eng A Lit SL,17.4,0.5,7.0
134,Eng A Lit SL,10.4,0.5,7.0
135,Eng A Lit SL,22.7,16.7,7.0
136,French B SL,11.1,5.7,7.0
137,Econ SL,13.4,4.2,6.0
138,French B SL,19.1,9.4,7.0
139,French B SL,8.8,12.1,6.0
140,Chem HL,16.1,2.2,7.0
141,Physics HL,21.5,2.1,6.0
142,French B SL,7.0,31.7,4.0
143,French B SL,15.9,8.9,6.0
144,Chem HL,16.3,4.9,5.0
145,Physics HL,18.9,16.2,5.0
146,Econ SL,8.8,7.4,5.0
147,Econ SL,8.4,2.8,6.0
148,Eng A Lit SL,17.6,2.3,5.0
149,Math AA HL,16.5,5.1,5.0
150,French B SL,16.3,19.7,6.0
151,French B SL,16.7,0.6,7.0
152,Math AA HL,11.6,2.5,3.0
153,French B SL,16.2,22.4,5.0
154,Econ SL,16.5,1.3,7.0
